Id,Company Name,IPO Status,Valuation $B,Valuation $B num,Funding $M,T#Founded,T#Date joined,Country,Headquarter,Category,Description,Website,Source,Years to be Unicorn,Founders,Investors,Estimated revenue,Female founders,Funding rounds,Last funding type
152,Instacart,Private,13.8,1.1,2220,2012-01-01,2014-12-30,United States,"San Francisco, California, United States","Supply chain, logistics, & delivery","Instacart provides a same-day grocery delivery and pickup service, bringing fresh groceries and everyday essentials.",https://www.instacart.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",3,"Apoorva Mehta, Brandon Leonardo, Max Mullen","Khosla Ventures, Kleiner 	  Perkins Caufield & Byers, Collaborative Fund",$10M to $50M,No,13,Venture - Series Unknown
153,Intellifusion,Private,1,12,173.49,2014-01-01,2019-03-22,China,"Shenzhen, Guangdong, China",Artificial intelligence,"Intellifusion develops a vision processor for purposes such as public safety, supercomputing, and AI",http://www.intellif.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,"Ning Chen, Xiaoyu Wang","BOC International, TopoScend Capital, Hongxiu VC",-,No,5,Series C
154,Intercom,Private,1.29,1,290.75,2011-08-01,2018-07-03,United States,"San Francisco, California, United States",Internet software & services,"Conversational Relationship Platform helping businesses build customer relationships through personalized, messenger-based experiences.",http://www.intercom.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",7,"Ciaran Lee, David Barrett, Des Traynor, Eoghan McCabe","FirstMark Capital, Tiger Global Management",$10M to $50M,No,8,Series D
155,InVision/ InVisionApp,Private,1,1,350.2,2011-01-01,2017-11-01,United States,"New York, New York, United States",Internet software & services,InVisionApp is a digital product design platform used to make the worldâ€™s best customer experiences.,https://www.invisionapp.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",7,"Ben Nadel, Clark Valberg","FirstMark Capital, Tiger Global Management, ICONIQ Capital",$10M to $50M,No,8,Series F
156,iQiyi,Public,IPO,1.2,3010,2010-01-01,2021-01-01,China,"Beijing, Beijing, China",Media & Entertainment,"iQiyi is an ad-supported television and movie portal providing fully-licensed, high-definition media content.",http://www.iqiyi.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",0,Yu Gong,"Xiaomi, Sequoia Capital, IDG Capital, Shunwei Capital, Baidu",$1B to $10B,No,11,Secondary Market
157,IronSource,Private,1.5,1,555,2010-01-01,2014-08-11,Israel,"Tel Aviv, Tel Aviv, Israel",Mobile & telecommunications,IronSource develops engagement and analytical tools designed to empower mobile and digital businesses.,https://company.ironsrc.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Arnon Harish, Eyal Milrad, Gil Shoham, Itay Milrad, Nethanel Shadmi, Omer Kaplan, Roi Milrad, Tamir Carmi, Tomer Bar Zeev","Access Industries, Clal 	  Industries and Investments",$10M to $50M,No,4,Private Equity
158,JOLLY Information Technology/ Jollychic,Private,1,1,95.8,2012-01-01,2018-05-29,China,"Hangzhou, Zhejiang, China",E-commerce & direct-to-consumer,Jollychic is an e-commerce platform that sells clothing and accessories online.,https://www.jollychic.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",7,Aaron Li,"Legend Capital, CDH Investments, Sequoia Capital China",$1M to $10M,No,3,Series C
159,Judo Capital/ Judo Bank,Exited Unicorn,Unexplained,1,1480,2016-01-01,2019-07-29,Australia,"Melbourne, Victoria, Australia",Other,Judo is a lender powered by the latest tech that provides personal services to SMEs,http://www.judo.bank,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Alex Twigg, Chris Bayliss, David Hornery, Joseph Healy, Kate Keenan, Tim Alexander","Goldman Sachs, Credit Suisse, Tikehau Capital, Abu Dhabi Capital Group, Bain Capital Credit",$1M to $10M,Yes,6,Series C
160,Jumia Group,Public,IPO,1,823.71,2012-01-01,2021-01-01,Nigeria,"Lagos, Lagos, Nigeria",E-commerce & direct-to-consumer,"Jumia Group is an e-commerce ecosystem that provides innovative, convenient, and affordable online goods and services to consumers.",https://group.jumia.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",0,"Jeremy Hodara, Sacha Poignonnec","Goldman Sachs, Orange, MasterCard, Rocket Internet, MTN Group",$500M to $1B,No,5,Corporate Round
161,Just,Private,1.1,1,220,2011-01-01,2017-11-30,United States,"San Francisco, California, United States",Consumer & retail,"JUST is a food technology company with a mission is to build a food system where everyone has access to delicious, nutritious food.",http://www.justforall.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",7,"Josh Balk, Josh Tetrick","Khosla Ventures, Horizons Ventures, Founders Fund",$10M to $50M,No,8,Convertible Note
162,JUUL Labs/ JUUL,Private,12,1.4,15130,2015-01-01,2017-12-20,United States,"San Francisco, California, United States",Consumer & retail,JUUL is a maker and distributer of electronic nicotine vaporizers.,https://www.juul.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",3,"Adam Bowen, James Monsees, Kevin Burns, Tim Danaher",Tiger Global Management,$1B to $10B,No,9,Debt Financing
163,Katerra,Private,1,18,1250,2015-01-01,2017-04-13,United States,"Menlo Park, California, United States","Supply chain, logistics, & delivery",Katerra is a Silicon Valley startup that is redefining the multi-trillion dollar construction industry.,https://katerra.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",3,"Fritz H. Wolff, Jim Davidson, Michael Marks","Foxconn Technology Company, Khosla Ventures, Moore Capital Management",$100M to $500M,No,11,Series E
164,Keep,Private,1,1,254,2014-01-01,2020-05-19,China,"Beijing, Beijing, China",Mobile & telecommunications,Keep is a mobile fitness community that offers a variety of training programs for different groups of people.,http://www.gotokeep.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",7,Ning Wang,"Bertelsmann Asia Investments, GGV Capital, Morningside Venture Capital",$10M to $50M,No,7,Series E
165,KeepTruckin,Private,1.2,1,227.3,2013-01-01,2019-04-23,United States,"San Francisco, California, United States","Supply chain, logistics, & delivery",KeepTruckin is a San Francisco-based startup helping trucking companies manage their fleets and have their drivers legally log their hours.,http://keeptruckin.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",7,"Obaid Khan, Ryan Johns, Shoaib Makani","Google Ventures, Index Ventures, Scale Venture Partners",$50M to $100M,No,6,Corporate Round
166,KK Group,Private,1,1.01,312.13,2014-01-01,2019-10-23,China,"Dongguan, Hebei, China",E-commerce & direct-to-consumer,KK Group provides an online-to-offline imported products marketplace.,https://www.kkguan.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,Yuening Wu,"Matrix Partners China, Bright Venture Capita, Shenzhen Capital Group",-,No,4,Series E
167,KLOOK,Private,1,1.5,521.5,2014-01-01,2018-08-07,Hong Kong,"Central, Hong Kong Island, Hong Kong",Travel,Klook is a world leading travel activities and services booking platform.,https://www.klook.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Bernie Xiaokang Xiong, Eric Gnock Fah, Ethan Lin","Sequoia Capital China, Goldman Sachs, Matrix Partners China",$10M to $50M,No,6,Series D
168,Knotel,Private,1,1,560,2016-01-01,2019-08-21,United States,"New York, New York, United States",Other,"Knotel is the worldâ€™s leading flexible workspace platform that matches, tailors and manages space for customers.",http://www.knotel.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Amol Sarva, Edward Shenderovich","Bloomberg Beta, Newmark Knight Frank, Norwest Venture Partners",$50M to $100M,No,5,Series C
169,KnowBe4,Private,1,1,393.54,2010-08-13,2019-06-12,United States,"Clearwater, Florida, United States",Cybersecurity,KnowBe4 is a platform for security awareness training and simulated phishing attacks.,http://www.KnowBe4.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",9,Stu Sjouwerman,"Elephant Venture Capital, KKR, Ten Eleven Ventures",$50M to $100M,No,5,Series C
170,Knowbox,Private,1,1,305.76,2014-01-01,2019-05-30,China,"Beijing, Beijing, China",Edtech,"Knowbox, an education mobile app start-up focused on helping students and teachers manage their homework.",http://www.knowbox.cn/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,"Jia Xiaoming, Liu Ye","TAL Education Group, Legend Star, Alibaba Group",$10M to $50M,No,6,Series D
171,Koudai,Private,1.4,1,368,2010-01-01,2014-10-23,China,"Beijing, Beijing, China",E-commerce & direct-to-consumer,Koudai Shopping is intelligent mobile shopping software which recommends targeted products according to userâ€™s personal style.,https://www.koudai.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,Ke Wang,"New Enterprise Associates, 	  Tiger Global management, Tencent",$10M to $50M,No,5,Series C
172,Kuaishou/ Kuaishou Technology,Private,18,1,4370,2011-01-01,2015-01-01,China,"Beijing, Beijing, China",Mobile & telecommunications,"Kuaishou is one of the worldâ€™s leading short video social platforms, boasting more than 200 million daily active users.",http://www.kuaishou.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,Hua Su,"Morningside Venture Capital, Sequoia Capital, Baidu",Less than $1M,No,8,Series F
173,Kujiale,Private,1,1,234.84,2011-01-01,2019-10-25,China,"Hangzhou, Zhejiang, China",Internet software & services,Kujiale is a SaaS-enabled home decoration and design platform.,http://www.kujiale.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",9,"Hang Chen, Xi Zhu, Xiaohuang Huang","GGV Capital, IDG Capital, Linear Venture",$50M to $100M,No,5,Series D
174,Lalamove,Private,1,1.17,461.5,2013-12-01,2018-02-21,Hong Kong,"Hong Kong, Hong Kong Island, Hong Kong","Supply chain, logistics, & delivery",Lalamove is the fastest way to deliver anything in your city.,http://www.lalamove.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Chow Shing Yuk, Gary Hui, Santit Jirawongkraisorn","MindWorks Ventures, Shunwei Capital Partners, 	Xiang He Capital",$10M to $50M,No,7,Series D
175,Leap Motor/ Leapmotor,Private,1.01,2,401.02,2015-12-24,2019-08-05,China,"Hangzhou, Zhejiang, China",Auto & transportation,Leapmotor is a Hangzhou-based Chinese new energy car maker.,http://www.leapmotor.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Fu Liquan, Zhu Jiangming","Sequoia Capital China, Gopher Asset Management, Shanghai Electric Group",$1M to $10M,No,3,Series A
176,Lemonade,Public,IPO,6.3,480,2015-01-01,2019-04-11,United States,"New York, New York, United States",Fintech,Lemonade operates as a full-stack insurance company powered by AI and behavioral economics and driven by social good.,https://www.lemonade.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Daniel Schreiber, Shai Wininger","OurCrowd, General Catalyst, SoftBank, Allianz, GV",$50M to $100M,No,7,Secondary Market
177,Lenskart,Private,1.5,1,459.63,2010-01-01,2019-12-20,India,"Faridabad, Haryana, India",E-commerce & direct-to-consumer,Lenskart is an India-based online shopping portal for eyewear.,http://www.lenskart.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",10,"Amit Chaudhary, Peyush Bansal","Chiratae Ventures, PremjiInvest, Softbank",$10M to $50M,No,9,Series G
178,letgo,Exited Unicorn,M&A,4.3,975,2015-01-01,2017-09-28,United States,"New York, New York, United States",E-commerce & direct-to-consumer,Letgo is a second-hand shopping app that helps users buy and sell locally.,https://www.letgo.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",3,"Alec Oxenford, Enrique Linares Plaza, Jordi Castello","Eight Roads Ventures, Accel, 14W, Northzone, FJ Labs",$10M to $50M,No,5,Series E
179,Lightricks,Private,1,1,205,2013-01-01,2019-07-31,Israel,"Jerusalem, Yerushalayim, Israel",Artificial intelligence,"Lightricks integrates advanced technologies from computer vision, computer graphics, and image processing into mobile products.",http://www.lightricks.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",7,"Amit Goldstein, Itai Tsiddon, Nir Pochter, Yaron Inger, Zeev Farbman","Viola Ventures, Insight Partners, ClalTech, Goldman Sachs",$50M to $100M,No,4,Series C
180,Lilium Aviation/ Lilium,Private,1,1,376.4,2015-01-01,2020-06-09,Germany,"WeÃŸling, Bayern, Germany",Other,"Lilium developing an all-electric, vertical take-off and landing aircraft for regional air mobility.",https://lilium.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,"Daniel Wiegand, Matthias Meiner, Patrick Nathen, Sebastian Born","Freigeist Capital, Obvious Ventures, Atomico",-,No,5,Venture - Series Unknown
181,Lime,Exited Unicorn,Unexplained,2.8,935,2017-01-01,2018-07-09,United States,"San Francisco, California, United States",Auto & transportation,Lime helps people move around their cities in an affordable and convenient way while eliminating their carbon footprint.,https://www.li.me/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",2,"Adam Zhang, Brad Bao, Charlie Gao, Toby Sun","Bain Capital Ventures, Uber, GGV Capital, UpHonest Capital, Andreessen Horowitz",$100M to $500M,No,8,Venture - Series Unknown
182,LinkDoc Technology,Private,1,1,150.78,2014-01-01,2018-07-05,China,"Beijing, Beijing, China",Health,"LinkDoc Technology Limited is a leading oncology big data company, based in Beijing, China.",https://www.linkdoc.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Shan He, Tony Zhang","China Investment Corporation, New Enterprise Associates",$100M to $500M,Yes,3,Series D
183,Liquid/ Liquid Global,Private,1,1.02,123,2014-05-01,2019-04-03,Japan,"Tokyo, Tokyo, Japan",Fintech,Liquid Global is a developer of a cryptocurrency trading platform designed to provide liquidity to the crypto economy.,https://www.liquid.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Kayamori Kariya, Mario Gomez Lozada, Mike Kayamori, Tanaka Masaaki","JAFCO Co, Bitmain Technologies, IDG Capital",$1M to $10M,No,6,Series C
184,Lixiang Automotive/ Lixiang,Public,IPO,1,1250,2015-01-01,2019-06-28,China,"Beijing, Beijing, China",Auto & transportation,"Lixiang, formerly known as Chehejia, is a car company that specializes in developing electric vehicles.",https://www.lixiang.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,Li Xiang,"Future Capital Discovery Fund, Shougang Fund, BlueRun Ventures",$10M to $50M,No,5,Series C
185,Loft,Private,1,1,263,2018-08-01,2020-01-03,Brazil,"SÃ£o Paulo, Sao Paulo, Brazil",E-commerce & direct-to-consumer,"Loft develops a real-estate platform intended to buy, sell, and rent residential and commercial properties.",https://www.loft.com.br/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",2,"Florian Hagenbuch, Gustavo D. Saraiva, Kristian Huber, Marcus Vinicius Grigoletto, Mariana Paixao, Mate Pencz","Monashees+, Andreessen Horowitz, QED Investors",$100M to $500M,Yes,3,Series C
186,Loggi,Private,1,1,310,2013-06-20,2019-06-05,Brazil,"SÃ£o Paulo, Sao Paulo, Brazil","Supply chain, logistics, & delivery",Loggi is a Brazil-based shipping logistics platform.,https://www.loggi.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,"Arthur Debert, Eduardo Wexler, Fabien Mendez","Qualcomm Ventures, SoftBank Group. Monashees+",$10M to $50M,No,8,Series E
187,Luckin Coffee,Public,IPO,1.9,1330,2017-10-01,2018-06-01,China,"Xiamen, Fujian, China",Consumer & retail,Luckin Coffee is a Chinese coffee brand and professional coffee service provider.,http://www.luckincoffee.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",1,Jenny Qian Zhiya,"BlackRock, CICC, GIC, Legend Capital, Joy Capital",$100M to $500M,Yes,5,Post-IPO Equity
188,Luoji Siwei,Private,1.17,1.57,144.18,2012-01-01,2017-07-20,China,"Beijing, Beijing, China",Edtech,"Luoji Siwei, a China-based talk show, provides a mobile app which allows users to subscribe to learn from key opinion leaders (KOLs)",https://www.igetget.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,Zhenyu Luo,"Sequoia Capital China, Qiming Venture Partners, Tencent Holdings",-,No,5,Series C
189,Lyft,Public,IPO,3.5,4910,2012-05-22,2021-01-01,United States,"San Francisco, California, United States",Auto & transportation,"Lyft designs, markets, and operates a mobile application that matches drivers with passengers who request rides.",http://lyft.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",0,"John Zimmer, Logan Green","Tencent Holdings, Alibaba Group, Kohlberg Kravis Roberts, Andreessen Horowitz, General Motors",$1B to $10B,No,20,Series I
190,Mafengwo,Private,2,3,503,2010-01-01,2019-05-23,China,"Beijing, Beijing, China",Travel,Mafengwo is a Chinese travel SNS website that enables users to share travel experiences with each other.,http://www.mafengwo.cn,"CBINSIGHTS Global Unicorn Club, Crunchbase data",10,"Gang Chen, Gang Lv","Qiming Venture Partners, Capital Today, General Atlantic",$1M to $10M,No,5,Series E
191,Magic Leap,Private,6.3,1,2980,2011-01-01,2014-10-21,United States,"Plantation, Florida, United States",Hardware,Magic Leap is a proprietary wearable technology that enables users to interact with digital devices in a completely visually cinematic way.,http://magicleap.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Brian Schowengerdt, Rony Abovitz","Obvious Ventures, Qualcomm Ventures, Andreessen Horowitz",$100M to $500M,No,10,Venture - Series Unknown
192,Maimai,Private,1,2.1,300,2013-01-01,2017-11-15,China,"Beijing, Beijing, China",Mobile & telecommunications,Maimai is a China-based career and social-networking platform.,http://maimai.cn/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,Fan Lin,"Morningside Venture Capital, IDG Capital, DCM Ventures",-,No,4,Series D
193,Maoyan,Public,IPO,4,671.44,2012-01-01,2019-03-06,China,"Beijing, Beijing, China",Media & Entertainment,Maoyan provides online movie ticketing services.,http://maoyan.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",8,Xing Wang,"Tencent Holdings, FountainVest Partners, Enlight Media, Zhihao Zheng",$100M to $500M,No,4,Post-IPO Equity
194,Marqeta,Private,4.3,1.57,528,2010-01-01,2019-05-21,United States,"Oakland, California, United States",Fintech,Marqeta provides infrastructure and tools to help companies build and manage payment programs.,https://www.marqeta.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",10,Jason Gardner,"83North, Granite Ventures, CommerzVentures",$10M to $50M,No,9,Private Equity
195,Medlinker,Private,1,10,247.24,2014-01-01,2018-07-31,China,"Beijing, Beijing, China",Health,Medical Alliance is a post of physician social service platform.,http://medlinker.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,Shirui Wang,"China Health Industry Investment Fund, China Renaissance, and Sequoia Capital China",$1M to $10M,No,4,Series D
196,MedMen,Public,IPO,2.2,363,2010-01-01,2021-01-01,United States,"Culver City, California, United States",Consumer & retail,"MedMen owns and operates licensed cannabis facilities in cultivation, manufacturing, and retail.",http://medmen.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",0,"Adam Bierman, Andrew Modlin, Jonathan M. Kaye","Wicklow Capital, Gotham Green Partners, Cap-Meridian Ventures, Captor Capital Corp.",$100M to $500M,No,5,Post-IPO Equity
197,Meero,Private,1,2.7,293.43,2016-01-01,2019-06-18,France,"Paris, Ile-de-France, France",Artificial intelligence,Meero is an AI company providing enhanced photography services.,https://www.meero.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Guillaume Lestrade, Thomas Rebaud","Aglae Ventures, Global Founders Capital, Alven Capital",$50M to $100M,No,5,Series C
198,Meicai,Private,2.8,1,1450,2014-06-01,2018-01-11,China,"Beijing, Beijing, China",Mobile & telecommunications,"Meicai sells agricultural products online that aims to change agriculture, rural areas, and farmers through the Internet.",http://www.meicai.cn/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Chuanjun Liu, Xueyin Xu","Tiger Global Management, Blue Lake Capital, ZhenFund",$100M to $500M,No,10,Series F
199,Mia.com,Private,1,2.8,231.6,2011-01-01,2015-09-08,China,"Beijing, Beijing, China",E-commerce & direct-to-consumer,Mia.com provides baby-care products.,http://www.mia.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,Nan Liu,"Sequoia Capital China, ZhenFund, K2 Ventures",-,Yes,5,Series E
200,Miaoshou Doctor,Private,1.02,1.2,248.52,2015-01-01,2019-06-27,China,"Beijing, Beijing, China",E-commerce & direct-to-consumer,Miaoshou Doctor is a health care platform that provides communication services between doctors and patients.,https://www.miaoshou.net/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Daoliang Han, Tao He","Sequoia Capital China, Qiming Venture Partners, Tencent Holdings",-,No,5,Series D
201,MindMaze,Private,1,6.32,110.66,2012-05-24,2016-02-17,Switzerland,"Lausanne, Vaud, Switzerland",Health,MindMaze designs an intuitive mind/machine interface through its neuro-inspired computing platform.,https://www.mindmaze.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,Tej Tadi,Hinduja Group,$10M to $50M,No,8,Undisclosed
202,Mofang Living/ Mofang Gongyu,Private,1,1,650,2010-08-01,2016-04-13,China,"Shanghai, Shanghai, China",E-commerce & direct-to-consumer,Mofang Gongyu develops and rents serviced apartments.,http://www.52mf.com.cn/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,-,"Warburg Pincus, Aviation Industry Corporation of China",-,No,4,Series D
203,Momenta,Private,1,1,203.15,2016-01-01,2018-10-17,China,"Beijing, Beijing, China",Artificial intelligence,Momenta is an autonomous driving startup operating out of Beijing.,https://www.momenta.ai/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",3,"Gang Sun, Shaoqing Ren, Xudong Cao, Yan Xia","Sinovation Ventures, Tencent Holdings, Sequoia Capital China",$1M to $10M,Yes,11,Venture - Series Unknown
204,monday.com,Private,1.9,2.7,234.1,2012-02-01,2019-07-30,United States,"Tel Aviv, Tel Aviv, Israel",Internet software & services,"monday.com is a Work OS, where teams create and shape workflow apps, code free - to run any process and project",https://monday.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",8,"Eran Zinman, Roy Mann","Entree Capital, Genesis Partners, Insight Partners",$1M to $10M,No,6,Secondary Market
205,Monzo,Private,1.57,3.8,492.84,2015-02-01,2018-10-31,United Kingdom,"London, England, United Kingdom",Fintech,Monzo is a digital-only bank platform and marketplace that allows customers to access a range of products and services.,https://monzo.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Gary Dolman, Jason Bates, Jonas Huckestein, Paul Rippon, Tom Blomfield","Passion Capital, Thrive Capital, Orange Digital Ventures",$10M to $50M,No,16,Series G
206,N26,Private,3.5,1,782.79,2013-02-01,2019-01-10,Germany,"Berlin, Berlin, Germany",Fintech,N26 offers mobile banking in 25 markets.,https://n26.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,"Maximilian Tayenthal, Valentin Stalf","Redalpine Venture Partners, Earlybird Venture Capital, Valar Ventures",$50M to $100M,No,8,Series D
207,Netskope,Private,3,1,740.1,2012-10-08,2018-11-13,United States,"Santa Clara, California, United States",Cybersecurity,"Netskope is a software company that helps organizations understand online activities, protect data, stop threats, and respond to incidents.",https://www.netskope.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",7,"Krishna Narayanaswamy, Sanjay Beri","Lightspeed Venture Partners, Social Capital, Accel",$10M to $50M,No,7,Series G
208,Next Insurance,Private,1,3.2,381,2016-01-01,2019-10-07,United States,"Palo Alto, California, United States",Fintech,Next Insurance is an online-based insurance company for entrepreneurs and small businesses.,https://www.next-insurance.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Alon Huri, Guy Goldstein, Nissim Tapiro","Zeev Ventures, Ribbit Capital, TLV Partners",$10M to $50M,No,4,Series C
209,Nextdoor,Private,2.1,1.33,455.2,2010-01-01,2015-03-04,United States,"San Francisco, California, United States",Internet software & services,"Nextdoor is the neighborhood hub for trusted connections and the exchange of helpful information, goods, and services.",http://nextdoor.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,"Adam Ginsburg, David Wiesen, Madison Bell, Nirav Tolia, Prakash Janakiraman, Sarah Leary","Benchmark Capital, DAG Ventures, Insight Venture Partners",$10M to $50M,Yes,9,Series F
210,Niantic,Private,4,2.9,470,2010-01-01,2017-11-24,United States,"San Francisco, California, United States",Mobile & telecommunications,Niantic builds augmented reality platform for current and future generations of AR hardware.,http://www.nianticlabs.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",8,"John Hanke, Phil Keslin","Nintendo, Google, Pokemon Company International, Spark Capital",$10M to $50M,No,4,Series C
211,NIO,Public,IPO,10,5430,2014-11-01,2017-03-01,China,"Shanghai, Shanghai, China",Auto & transportation,NIO is an automotive company that designs and develops electric autonomous vehicles.,https://www.nio.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",3,"Jack Cheng, Lihong Qin, William Li","Lenovo, Tencent Holdings, Temasek Holdings, IDG Capital, Shunwei Capital",$500M to $1B,No,10,Post-IPO Equity
212,Northvolt,Private,1.57,1,2690,2016-01-01,2019-06-12,Sweden,"Stockholm, Stockholms Lan, Sweden",Other,"Northvolt develops sustainable lithium-ion batteries in conjunction with R&D, industrialization & recycling to support clean energy.",http://www.northvolt.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Paolo Cerruti, Peter Carlsson","Vattenfall, Volkswagen Group, Goldman Sachs",$1M to $10M,No,6,Debt Financing
213,Nubank,Private,10,1,1110,2013-05-06,2018-03-01,Brazil,"SÃ£o Paulo, Sao Paulo, Brazil",Fintech,"Nubank issues, administrates, processes, and transfers payments related to post-paid credit cards and equity investment in other entities.",https://www.nubank.com.br,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Adam Edward Wible, Cristina Junqueira, David Velez","Sequoia Capital, Redpoint e.ventures, Kaszek Ventures",$100M to $500M,Yes,10,Series F
214,NuCom Group,Private,2.2,2,550,2018-01-01,2018-02-22,Germany,"UnterfÃ¶hring, Bayern, Germany",Other,"NuCom provide a combination of content, commerce and operational excellence which drives the exceptional development of our portfolio.",https://www.nucom.group/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",1,-,General Atlantic,$500M to $1B,No,1,Private Equity
215,Nuro,Private,2.7,1.5,1030,2016-01-01,2019-02-11,United States,"Mountain View, California, United States",Auto & transportation,NURO is a technology company that aims to accelerate the benefits of robotics for everyday life.,https://nuro.ai/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Dave Ferguson, Jiajun Zhu","SoftBank Group, Greylock Partners, Gaorong Capital",$50M to $100M,No,3,Series B
216,Nxin (????)/ Nxin,Private,1,1,53.04,2015-01-01,2018-09-18,China,"Beijing, Beijing, China",Internet software & services,Nxin operates online agricultural platforms,http://www.nxin.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,-,"Beijing Juneng Hesheng Industry Investment Fund, Beijing Shuju Xinrong Fund",-,No,2,Series B
217,OakNorth,Private,2.8,3,1040,2015-01-01,2017-10-12,United Kingdom,"London, England, United Kingdom",Fintech,"The next-generation credit and monitoring platform that's redefining business borrowing to the ""Missing Middle""",https://www.oaknorth.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",3,"Joel Perlman, Rishi Khosla","Clermont Group, Coltrane Asset Management, Toscafund Asset Management",$10M to $50M,No,8,Venture - Series Unknown
218,OfferUp,Private,1.2,2,380.99,2011-01-01,2016-09-08,United States,"Bellevue, Washington, United States",Mobile & telecommunications,"OfferUp provides an online and mobile C2C marketplace app for people to buy and sell electronics, furniture, and cars.",https://offerup.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,"Arean van Veelen, Nick Huzar","Andreessen Horowitz, GGV Capital, T. Rowe Price",$50M to $100M,No,9,Venture - Series Unknown
219,Ola Cabs/ Ola,Private,6.32,2,3810,2010-12-03,2014-10-27,India,"Kormangala, Karnataka, India",Auto & transportation,Ola is a mobility platform and ride-hailing company based in India.,http://www.olacabs.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Ankit Bhati, Bhavish Aggarwal","Accel Partners, SoftBank Group, Sequoia Capital",$100M to $500M,No,25,Series J
