Id,Company Name,IPO Status,Valuation $B,Valuation $B num,Funding $M,T#Founded,T#Date joined,Country,Headquarter,Category,Description,Website,Source,Years to be Unicorn,Founders,Investors,Estimated revenue,Female founders,Funding rounds,Last funding type
101,Face++ (Megvii)/ MEGVII,Private,4,1.2,1360,2011-10-08,2017-10-31,China,"Beijing, Beijing, China",Artificial intelligence,"Megvii builds AI Engine, a core fundamental technology powering various AI application.",https://www.megvii.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",7,"Qi Yin, Wenbin Tang, Yang Mu","Ant Financial Services Group, Russia-China Investment Fund, Foxconn Technology Company",$100M to $500M,No,7,Series D
102,Fair,Private,1.2,1.2,2100,2016-01-01,2018-12-20,United States,"Santa Monica, California, United States",Auto & transportation,Fair is a car leasing company that is revolutionizing the car-as-a-service concept.,https://www.fair.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",3,"Boone Park, Craig Nehamen, Georg Bauer, Jennifer Parke, Matt Cacciola, Scott Painter","CreditEase Fintech Investment Fund, BMW i Ventures, SoftBank Group",$100M to $500M,Yes,13,Debt Financing
103,Faire,Private,1,3.2,265.95,2016-01-01,2019-10-30,United States,"San Francisco, California, United States",Artificial intelligence,Faire is a curated marketplace for local retailers to discover the best makers and brands to stock their stores risk-free.,https://www.faire.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Daniele Perito, Jeffrey Kolovson, Marcelo Cortes, Max Rhodes","Khosla Ventures, Forerunner Ventures, Sequoia Capital",$10M to $50M,No,6,Series D
104,Figma,Private,2,2.25,132.87,2012-10-01,2020-04-30,United States,"San Francisco, California, United States",Internet software & services,Figma is a collaborative interface design tool that enables the entire teamâ€™s design process to happen in one online tool.,http://figma.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",8,"Dylan Field, Evan Wallace","Index Ventures, Greylock Partners, Kleiner Perkins Caufield & Byers",$10M to $50M,No,7,Series D
105,Figure Technologies/ Figure,Private,1.2,1,1350,2018-01-01,2019-11-05,United States,"San Francisco, California, United States",Fintech,"Figure provides consumer financial solutions intended for home improvement, debt consolidation, and retirement planning.",https://figure.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",2,"Alana Ackerson, Cynthia Chen, June Ou, Michael Cagney, Sara Priola","DCM Ventures, Ribbit Capital, RPM Ventures",$10M to $50M,Yes,13,Series C
106,FirstCry,Private,1.2,1.06,418.36,2010-01-01,2020-02-07,India,"Pune, Maharashtra, India",E-commerce & direct-to-consumer,FirstCry is an online shopping store offering a range of baby care products and toys.,http://www.firstcry.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",11,"Amitava Saha, Sanket Hattimattur, Supam Maheshwari","SoftBank Group, SAIF Partners India, Valiant Capital Partners",$10M to $50M,No,8,Series E
107,FiveTran,Private,1.2,3.5,163.11,2012-01-01,2020-06-30,United States,"Oakland, California, United States",Data management & analytics,"Fivetran automates connectors to sync data from cloud applications, databases, and event logs into users' data warehouses.",https://fivetran.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",9,"George Fraser, Taylor Brown","Matrix Partners, Andreessen Horowitz, General Catalyst",Less than $1M,No,5,Series C
108,Flexport,Private,3.2,1,1300,2013-03-01,2018-04-30,United States,"San Francisco, California, United States","Supply chain, logistics, & delivery",Flexport is a full-service global freight forwarder and logistics platform using modern software to fix the user experience in global trade.,https://www.flexport.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,Ryan Petersen,"Bloomberg Beta, Founders Fund, First Round Capital",$100M to $500M,No,9,Secondary Market
109,FlixBus,Private,2.25,1,563.06,2011-01-01,2019-07-18,Germany,"Munich, Bayern, Germany",Auto & transportation,"FlixBus is a unique combination of tech-startup, e-commerce platform and transportation company.",http://www.flixbus.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",9,"Andre Schwammlein, Daniel Krauss, Jochen Engert","Holtzbrinck Ventures, Unternehmertum Venture Capital, General Atlantic",$10M to $50M,No,6,Series F
110,Flywire,Private,1,1.5,263.2,2011-01-15,2020-02-13,United States,"Boston, Massachusetts, United States",Fintech,Flywire is a high-growth vertical payments company trusted by organizations to deliver on their customersâ€™ most important moments.,http://www.flywire.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",10,Iker Marcaide,"Spark Capital, F-Prime Capital, Kibo Ventures",$100M to $500M,No,8,Series E
