Id,Company Name,IPO Status,Valuation_$B,Valuation_$B_num,Funding $M,Founded,Date_joined,Country,Headquarter,Category,Description,Website,Source,Years_to_be_Unicorn,Founders,Investors,Estimated_revenue,Female_founders,Funding_rounds,Last_funding_type
157,KLOOK,Private,1,1.5,521.5,1/1/2014,8/7/2018,Hong Kong,"Central, Hong Kong Island, Hong Kong",Travel,Klook is a world leading travel activities and services booking platform.,https://www.klook.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Bernie Xiaokang Xiong, Eric Gnock Fah, Ethan Lin","Sequoia Capital China, Goldman Sachs, Matrix Partners China",$10M to $50M,No,6,Series D
158,Knotel,Private,1,1,560,1/1/2016,8/21/2019,United States,"New York, New York, United States",Other,"Knotel is the worldâ€™s leading flexible workspace platform that matches, tailors and manages space for customers.",http://www.knotel.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Amol Sarva, Edward Shenderovich","Bloomberg Beta, Newmark Knight Frank, Norwest Venture Partners",$50M to $100M,No,5,Series C
159,KnowBe4,Private,1,1,393.54,8/13/2010,6/12/2019,United States,"Clearwater, Florida, United States",Cybersecurity,KnowBe4 is a platform for security awareness training and simulated phishing attacks.,http://www.KnowBe4.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",9,Stu Sjouwerman,"Elephant Venture Capital, KKR, Ten Eleven Ventures",$50M to $100M,No,5,Series C
160,Knowbox,Private,1,1,305.76,1/1/2014,5/30/2019,China,"Beijing, Beijing, China",Edtech,"Knowbox, an education mobile app start-up focused on helping students and teachers manage their homework.",http://www.knowbox.cn/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,"Jia Xiaoming, Liu Ye","TAL Education Group, Legend Star, Alibaba Group",$10M to $50M,No,6,Series D
161,Koudai,Private,1.4,1,368,1/1/2010,10/23/2014,China,"Beijing, Beijing, China",E-commerce & direct-to-consumer,Koudai Shopping is intelligent mobile shopping software which recommends targeted products according to userâ€™s personal style.,https://www.koudai.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,Ke Wang,"New Enterprise Associates, 	  Tiger Global management, Tencent",$10M to $50M,No,5,Series C
162,Kuaishou/ Kuaishou Technology,Private,18,1,4370,1/1/2011,1/1/2015,China,"Beijing, Beijing, China",Mobile & telecommunications,"Kuaishou is one of the worldâ€™s leading short video social platforms, boasting more than 200 million daily active users.",http://www.kuaishou.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,Hua Su,"Morningside Venture Capital, Sequoia Capital, Baidu",Less than $1M,No,8,Series F
163,Kujiale,Private,1,1,234.84,1/1/2011,10/25/2019,China,"Hangzhou, Zhejiang, China",Internet software & services,Kujiale is a SaaS-enabled home decoration and design platform.,http://www.kujiale.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",9,"Hang Chen, Xi Zhu, Xiaohuang Huang","GGV Capital, IDG Capital, Linear Venture",$50M to $100M,No,5,Series D
164,Lalamove,Private,1,1.17,461.5,12/1/2013,2/21/2018,Hong Kong,"Hong Kong, Hong Kong Island, Hong Kong","Supply chain, logistics, & delivery",Lalamove is the fastest way to deliver anything in your city.,http://www.lalamove.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Chow Shing Yuk, Gary Hui, Santit Jirawongkraisorn","MindWorks Ventures, Shunwei Capital Partners, 	Xiang He Capital",$10M to $50M,No,7,Series D
165,Leap Motor/ Leapmotor,Private,1.01,2,401.02,12/24/2015,8/5/2019,China,"Hangzhou, Zhejiang, China",Auto & transportation,Leapmotor is a Hangzhou-based Chinese new energy car maker.,http://www.leapmotor.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Fu Liquan, Zhu Jiangming","Sequoia Capital China, Gopher Asset Management, Shanghai Electric Group",$1M to $10M,No,3,Series A
166,Lenskart,Private,1.5,1,459.63,1/1/2010,12/20/2019,India,"Faridabad, Haryana, India",E-commerce & direct-to-consumer,Lenskart is an India-based online shopping portal for eyewear.,http://www.lenskart.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",10,"Amit Chaudhary, Peyush Bansal","Chiratae Ventures, PremjiInvest, Softbank",$10M to $50M,No,9,Series G
