Id,Company Name,IPO Status,Valuation_$B,Valuation_$B_num,Funding $M,Founded,Date_joined,Country,Headquarter,Category,Description,Website,Source,Years_to_be_Unicorn,Founders,Investors,Estimated_revenue,Female_founders,Funding_rounds,Last_funding_type
206,OrCam Technologies,Private,1,1.5,86.4,1/1/2010,2/21/2018,Israel,"Jerusalem, Yerushalayim, Israel",Artificial intelligence,OrCam harnesses the power of artificial vision in an intuitive portable device that compensates for lost visual abilities.,http://orcam.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",9,"Amnon Shashua, Ziv Aviram","Intel Capital, Aviv Venture Capital",$1M to $10M,No,4,Venture - Series Unknown
207,"Oscar 	  Health/ Oscar Health",Private,3.2,5.5,1490,11/1/2012,4/20/2015,United States,"New York, New York, United States",Health,"Oscar is a technology-focused health insurance company that employs technology, design, and data to humanize health care.",http://www.hioscar.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",3,"Joshua Kushner, Kevin Nazemi, Mario Schlosser","BoxGroup, Formation8, 	  Khosla Ventures",$50M to $100M,No,9,Venture - Series Unknown
208,Outreach,Private,1.33,1,289,1/1/2011,4/16/2019,United States,"Seattle, Washington, United States",Artificial intelligence,Outreach is a sales engagement platform that accelerates revenue growth by optimizing interactions throughout the customer lifecycle.,https://www.outreach.io/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",9,"Andrew Kinzer, Gordon Hempton, Manny Medina, Wes Hather","Mayfield Fund, M12, Trinity Ventures",$10M to $50M,No,9,Series F
209,OVO,Private,2.9,1.9,0,1/1/2017,3/14/2019,Indonesia,"Jakarta, Jakarta Raya, Indonesia",Fintech,OVO is one of the leading players in the digital payment sector.,https://www.ovo.id/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",3,-,"Grab, Tokopedia, Tokyo Century Corporation",-,No,1,Venture - Series Unknown
210,Oyo Rooms/ OYO,Private,10,10,3240,1/1/2012,9/25/2018,India,"Gurgaon, Haryana, India",Travel,OYO operates a branded network of hotels designed to offer standardized stay experiences.,http://www.oyorooms.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",7,Ritesh Agarwal,"SoftBank Group, Sequoia Capital India,Lightspeed India Partners",$100M to $500M,No,16,Series F
211,Pat McGrath Labs,Private,1,1,60,10/1/2015,7/13/2018,United States,"New York, New York, United States",Consumer & retail,Pat McGrath Labs is a makeup brand created by Pat McGrath,https://www.patmcgrath.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",3,Pat McGrath,"One Luxury Group, Eurazeo",Less than $1M,Yes,2,Private Equity
212,Pendo,Private,1,1.5,208.25,10/1/2013,10/17/2019,United States,"Raleigh, North Carolina, United States",Internet software & services,Pendo is a product cloud creator for digital products and data-driven product teams.,http://www.pendo.io,"CBINSIGHTS Global Unicorn Club, Crunchbase data",7,"Eric Boduch, Erik Troan, Rahul Jain, Todd Olson","Contour Venture Partners, Battery Ventures, Core Capital Partners",$10M to $50M,No,8,Series E
213,Perfect Diary,Private,2,8.6,100,1/1/2015,9/11/2019,China,"Guangzhou, Guangdong, China",Other,Perfect Diary is an e-commerce-based cosmetic brand.,http://www.perfectdiary.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,David Huang,"Sequoia Capital China, Hillhouse Capital Management, CMC Capital Partners",-,No,2,Venture - Series Unknown
214,Podium,Private,1.5,3.65,217.62,1/1/2014,4/7/2020,United States,"Lehi, Utah, United States",Internet software & services,Podium is a customer communication platform for businesses who interact with customers on a local level.,https://www.podium.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",7,"Dennis Steele, Eric Rea","Accel, Summit Partners, Google Ventures",$100M to $500M,No,5,Series C
215,Poizon,Private,1,6,0,1/1/2015,4/29/2019,China,"Shanghai, Shanghai, China",Mobile & telecommunications,Poizon is a secondary sneaker market platform,https://poizon.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,Yang Bing,"DST Global, Sequoia Capital China, Gaorong Capital",-,No,1,Series A
216,Pony.ai,Private,3,3.3,726,1/1/2016,7/11/2018,United States,"Fremont, California, United States",Artificial intelligence,Pony.ai is a startup that builds full-stack autonomous driving solutions.,https://www.pony.ai/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",3,"James Peng, Tiancheng Lou","Sequoia Capital China, IDG Capital, DCM Ventures",$10M to $50M,No,5,Series B
217,Postman,Private,2,5.4,208,9/1/2014,6/11/2020,United States,"San Francisco, California, United States",Internet software & services,Postman is the collaboration platform for API development.,http://www.postman.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,"Abhijit Kane, Abhinav Asthana, Ankit Sobti","Nexus Venture Partners, CRV, Insight Partners",$10M to $50M,No,4,Series C
218,Preferred Networks,Private,2,1.7,147.2,3/26/2014,5/17/2018,Japan,"Otemachi, Tokyo, Japan",Artificial intelligence,"Preferred Networks develops real-world applications of deep learning, robotics and other latest technologies.",https://preferred.jp/en/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Daisuke Okanohara, Daisuke Okanohara, Morikawa Hiroyuki, Toru Nishikawa","Toyota Motor Corporation, Mizuho Financial Group, FANUC",$10M to $50M,No,7,Corporate Round
219,Quanergy Systems,Private,2,1.5,135.31,11/1/2012,8/24/2016,United States,"Sunnyvale, California, United States",Auto & transportation,Quanergy offers LiDAR sensors and software to capture and process real-time 3D mapping data.,http://quanergy.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Louay Eldada, Tianyue Yu","Delphi Automotive, Samsung Ventures, Motus Ventures",$10M to $50M,Yes,6,Series C
220,QuintoAndar,Private,1,1,335.27,1/1/2014,9/10/2019,Brazil,"SÃ£o Paulo, Sao Paulo, Brazil",E-commerce & direct-to-consumer,QuintoAndar is a platform that simplifies the rental of residential real estate for landlords and renters.,http://quintoandar.com.br,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,"Andre Penha, Gabriel Braga","Kaszek Ventures, General Atlantic, SoftBank Group",$10M to $50M,No,6,Series D
221,Qumulo,Private,1.2,7.5,347.3,1/1/2012,7/16/2020,United States,"Seattle, Washington, United States",Data management & analytics,Qumulo provides a file data platform for multi-cloud environments with large scale file data.,http://qumulo.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",9,"Aaron Passey, Neal Fachan, Peter Godman","Madrona Venture Group, Kleiner Perkins Caufield & Byers, Highland Capital Partners",$10M to $50M,No,7,Series E
222,Rappi,Private,1,1.65,1390,1/1/2015,8/31/2018,Colombia,"BogotÃ¡, Distrito Especial, Colombia","Supply chain, logistics, & delivery",Rappi is an information technology company that specializes in providing an online marketplace for consumer goods.,http://www.rappi.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Felipe Villamarin, Sebastian Mejia, Simon Borrero","DST Global, Andreessen Horowitz, Sequoia Capital, Redpoint e.ventures",$10M to $50M,No,9,Series E
223,Rapyd,Private,1.2,1,170,1/1/2016,12/3/2019,United Kingdom,"London, England, United Kingdom",Fintech,Rapyd is a fintech-as-a-Service platform that provide local payments network services.,https://www.rapyd.net/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,Arik Shtilman,"Target Global, General Catalyst, Durable Capital Partners",$10M to $50M,No,4,Series C
224,Remitly,Private,1.5,1,505,1/1/2011,7/29/2020,United States,"Seattle, Washington, United States",Fintech,Remitly is a mobile payments service that enables users to make person-to-person international money transfers.,http://www.remitly.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",10,"Joshua Hug, Matthew Oppenheimer, Shivaas Gulati","DN Capital, Threshold Ventures, Trilogy Equity Partners",$10M to $50M,No,11,Series F
225,Revolut,Private,5.5,2.3,916.95,7/1/2015,4/26/2018,United Kingdom,"London, England, United Kingdom",Fintech,"Revolut is a financial services company that specializes in mobile banking, card payments, money remittance, and foreign exchange.",http://www.revolut.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",3,"Nikolay Storonsky, Vlad Yatsenko","index Ventures, DST Global, Ribbit Capital",$50M to $100M,No,13,Series D
226,Revolution Precrafted/ Revolution,Private,1,1.2,15.4,12/1/2015,10/23/2017,Philippines,"Makati, Manila, Philippines",Other,"REVOLUTION is a collection of limited edition, pre-crafted properties, including pavilions and homes.",https://revolutionprecrafted.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",2,Robbie Antonio,"K2 Global, 500 Startups",$1M to $10M,No,2,Series B
227,RigUp,Private,1.9,7,452.5,1/1/2014,9/30/2019,United States,"Austin, Texas, United States",Internet software & services,RigUp is a marketplace for on-demand services and skilled labor in the energy industry.,http://rigup.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,"Michael Witte, Sandeep Jain, Xuan Yong","Founders Fund, Quantum Energy Partners, Bedrock Capital",$10M to $50M,No,7,Venture - Series Unknown
228,Ripple,Private,10,12.4,348.8,1/1/2012,12/20/2019,United States,"San Francisco, California, United States",Fintech,Ripple provides one frictionless experience to send money globally using the power of blockchain.,http://ripple.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",8,"Arthur Britto, Chris Larsen, Ryan Fugger","IDG Capital, Venture51, Lightspeed Venture Partners",$10M to $50M,No,14,Series C
229,Riskified,Private,1,1,228.65,1/1/2012,11/5/2019,United States,"Tel Aviv, Tel Aviv, Israel",Cybersecurity,Riskified designs an e-commerce fraud-prevention technology that turns fraud management into a growth engine for online retailers.,https://www.riskified.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",8,"Assaf Feldman, Eido Gal","Entree Capital, Genesis Partners, Qumra Capital",$10M to $50M,No,6,Series E
230,Rivigo,Private,1.07,4.8,257.37,1/1/2014,7/11/2019,India,"Gurgaon, Haryana, India","Supply chain, logistics, & delivery",Rivigo is a technology company that offers logistics services and solutions in India.,http://rivigo.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,"Deepak Garg, Gazal Kalra","SAIF Partners India, Warburg Pincus, Trifecta Capital Advisors",$50M to $100M,Yes,10,Debt Financing
231,Ro,Private,1.5,1.3,376.1,1/1/2017,7/27/2020,United States,"New York, New York, United States",Health,"Ro is a telehealth startup that operates digital health clinics for menâ€™s and womenâ€™s health, along with smoking cessation.",https://www.ro.co/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Rob Schutz, Saman Rahmanian, Zachariah Reitano","Initialized Capital, General Catalyst, SignalFire",$100M to $500M,No,4,Series C
232,Robinhood,Private,8.6,3,1510,1/1/2013,4/26/2017,United States,"Menlo Park, California, United States",Fintech,"Robinhood is a stock brokerage that allows customers to buy and sell U.S. stocks, options, ETFs, and cryptocurrencies with zero commission.",https://www.robinhood.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Baiju Bhatt, Vlad Tenev","Google Ventures, Andreessen Horowitz, DST Global",$50M to $100M,No,13,Series F
233,Roivant Sciences,Private,9.09,1,1890,5/1/2014,11/13/2018,United States,"New York, New York, United States",Health,Roivant Sciences is a biopharmaceutical company focused on completing the development of promising late-stage drug candidates.,http://roivant.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,Vivek Ramaswamy,"SoftBankGroup, Founders Fund",$10M to $50M,No,4,Private Equity
234,Root Insurance,Private,3.65,36,527.5,3/1/2015,8/22/2018,United States,"Columbus, Ohio, United States",Fintech,"Root Insurance is a property casualty insurtech that offers personalized, affordable coverage in an app.",https://joinroot.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Alex Timm, Dan Manges","Tiger Global Management, Ribbit Capital, Redpoint Ventures",$10M to $50M,No,5,Series E
235,Royole Corporation,Private,6,1,1050,1/1/2012,8/18/2015,China,"Shenzhen, Guangdong, China",Hardware,"Royole Corporation is a global manufacturer of advanced flexible displays, flexible sensors, and smart devices.",http://www.royole.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,Bill Liu,"Warmsun Holding, IDG Capital Partners",$10M to $50M,No,6,Series E
236,Rubrik,Private,3.3,3.6,553,1/1/2014,4/28/2017,United States,"Palo Alto, California, United States",Data management & analytics,Rubrik offers live data access for recovery and application development by fusing enterprise data management with web-scale IT.,http://rubrik.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Arvind Jain, Arvind Nithrakashyap, Bipul Sinha, Soham Mazumdar","Greylock Partners, Lightspeed Venture Partners, Khosla Ventures",$100M to $500M,No,6,Secondary Market
237,Samsara Networks/ Samsara,Private,5.4,1.4,930,1/1/2015,3/22/2018,United States,"San Francisco, California, United States",Hardware,"Samsara is an IoT platform that combines hardware, software, and cloud to bring real-time visibility, analytics, and AI to operations.",http://www.samsara.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"John Bicket, Sanjit Biswas","Andreessen Horowitz, General Catalyst",$100M to $500M,No,7,Series F
238,Scale AI,Private,1,3,122.62,6/1/2016,8/5/2019,United States,"San Francisco, California, United States",Artificial intelligence,"Scale AI is the data platform for AI, providing high quality training data for leading machine learning teams.",https://scale.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Alexandr Wang, Lucy Guo","Accel, Y Combinator, Index Ventures",$1M to $10M,Yes,5,Series C
239,Scopely,Private,1.7,1,658.7,1/1/2011,10/29/2019,United States,"Culver City, California, United States",Mobile & telecommunications,Scopely is a leading interactive entertainment and mobile games company.,http://www.scopely.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",9,"Ankur Bulsara, Eric Futoran, Eytan Elbaz, Walter Driver","Greycroft, Sands Capital, Revolution Growth",$10M to $50M,No,11,Series D
240,Segment,Private,1.5,5,283.72,9/1/2011,4/2/2019,United States,"San Francisco, California, United States",Data management & analytics,Segment provides the customer data infrastructure that helps businesses put their customers first.,http://segment.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",8,"Calvin French-Owen, Ian Storm Taylor, Ilya Volodarsky, Peter Reinhardt","Accel, Y Combinator, Thrive Capital",$50M to $100M,No,7,Series D
241,Seismic,Private,1,1,164.5,6/1/2011,12/18/2018,United States,"San Diego, California, United States",Internet software & services,Seismic offers a global sales and marketing enablement solution for improving close rates and delivering larger deals for sales.,http://seismic.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",8,"Douglas Winter, Ed Calnan, Fred Xie, Marc Romano, Nasser Barghouti","Jackson Square Ventures, General Atlantic, Lightspeed Venture Partners",$50M to $100M,No,4,Series E
242,SenseTime,Private,7.5,1,3260,10/1/2014,7/11/2017,China,"Beijing, Beijing, China",Artificial intelligence,SenseTime is an artificial intelligence company that focuses on innovative computer vision and deep learning technologies.,http://www.sensetime.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",3,"Bing Xu, Li Xu, Xiaogang Wang","Star VC, IDG Capital, Infore Capital, Alibaba Group",$10M to $50M,No,9,Series D
243,SentinelOne,Private,1.1,1,429.52,1/1/2013,2/19/2020,United States,"Mountain View, California, United States",Cybersecurity,"SentinelOne delivers autonomous endpoint protection that prevents, detects, and responds to attacks across all major vectors.",http://www.sentinelone.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",8,"Almog Cohen, Ehud Shamir, Tomer Weingarten","Granite Hill Capital Partners, Data Collective, Tiger Global Management",$100M to $500M,No,7,Series E
244,ServiceTitan,Private,1.65,4.9,325.96,1/1/2013,11/14/2018,United States,"Glendale, California, United States",Internet software & services,ServiceTitan is the service management software that helps leading home services businesses generate more leads and close more sales.,http://www.servicetitan.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,"Ara Mahdessian, Vahe Kuzoyan","Bessemer Venture Partners, ICONIQ Capital, Battery Ventures",$50M to $100M,No,5,Series D
245,Shansong Express (FlashEx)/ FlashEX,Private,1,2,214,1/1/2014,8/27/2018,China,"Shanghai, Shanghai, China","Supply chain, logistics, & delivery",FlashEX provides short-distance and same-city logistics services.,http://www.ishansong.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,Peng Xue,"Prometheus Capital, Matrix Partners China, JD Capital Management",-,No,5,Series D
246,Sila Nanotechnologies,Private,1,140,285,1/1/2011,4/16/2019,United States,"Alameda, California, United States",Other,Sila Nanotechnologies is a provider and manufacturer of revolutionary car batteries.,http://www.silanano.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",9,"Alex Jacobs, Gene Berdichevsky, Gleb Yushin","Bessemer Venture Partners, Sutter Hill Ventures, Matrix Partners",$10M to $50M,No,3,Series E
247,Skydance Media,Private,2.3,5,275,1/1/2010,2/11/2020,United States,"Santa Monica, California, United States",Other,"Skydance Media create elevated, event-level entertainment for global audiences.",http://skydancemedia.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",11,David Ellison,"RedBird Capital Partners, CJ ENM, Tencent Holdings",$10M to $50M,No,2,Undisclosed
248,SmartNews,Private,1.2,3,180.29,6/15/2012,8/5/2019,Japan,"Tokyo, Tokyo, Japan",Mobile & telecommunications,SmartNews helps users find quality news beyond the filter bubble.,http://www.smartnews.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",8,"Kaisei Hamamoto, Ken Suzuki","Japan Post Capital, Globis Capital Partners, Atomico",$10M to $50M,No,5,Series E
249,Snapdeal,Private,7,1,1780,2/4/2010,5/21/2014,India,"Gurgaon, Haryana, India",E-commerce & direct-to-consumer,"Snapdeal is India's largest no-frills, value-focused marketplace offering products across 600+ categories from 500,000+ strong seller base.",https://www.snapdeal.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Kunal Bahl, Rohit Bansal","SoftBankGroup, Blackrock, Alibaba Group",$10M to $50M,No,13,Venture - Series Unknown
250,Snowflake Computing/ Snowflake,Private,12.4,4,1410,1/1/2012,1/25/2018,United States,"San Mateo, California, United States",Data management & analytics,Snowflake provides a data warehouse as a service designed for the cloud.,https://www.snowflake.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",7,"Benoit Dageville, Marcin Zukowski, Thierry Cruanes","Redpoint Ventures,Iconiq Capital, Madrona Venture Group",$100M to $500M,No,8,Series G
251,Snyk,Private,1,1.16,252,7/7/2015,1/21/2020,United Kingdom,"London, England, United Kingdom",Cybersecurity,Snyk helps organizations find and fix vulnerabilities in open source dependencies and container images.,https://snyk.io,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Assaf Hefetz, Danny Grander, Guy Podjarny","BOLDstart Ventures, Google Ventures, Accel",$10M to $50M,No,6,Series C
252,SoFi,Private,4.8,1.5,2530,8/1/2011,2/3/2015,United States,"San Francisco, California, United States",Fintech,SoFi is a finance company that offers a range of lending and wealth management services.,http://www.sofi.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Daniel Macklin, Ian Brady, James Finnigan, Michael Cagney","Baseline Ventures, DCM Ventures, Institutional Venture Partners",$100M to $500M,No,14,Secondary Market
253,Sonder,Private,1.3,1,529.55,7/1/2012,7/11/2019,United States,"San Francisco, California, United States",Travel,Sonder is a tech-driven hospitality company offering spaces built for travel and life in cities around the world.,https://www.sonder.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",8,"Francis Davidson, Lucas Pellan, Olivier Gareau","Structure Capital, Spark Capital, Greylock Partners",$10M to $50M,No,8,Series E
254,SouChe Holdings/ Souche,Private,3,1,1210,12/1/2012,11/1/2017,China,"Hangzhou, Zhejiang, China",E-commerce & direct-to-consumer,Souche provides new and second-hand car trading services.,http://www.souche.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,Junhong Yao,"Morningside Ventures, Warburg Pincus, CreditEase Fintech Investment Fund",$1M to $10M,No,9,Series F
255,StockX,Private,1,2.3,160.23,3/1/2015,6/26/2019,United States,"Detroit, Michigan, United States",E-commerce & direct-to-consumer,StockX is an online marketplace for buying and selling limited edition and high demand sneakers.,https://stockx.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Dan Gilbert, Josh Luber","Google Ventures, Battery Ventures, DST Global",$10M to $50M,No,5,Venture - Series Unknown
256,Stripe,Private,36,2,1640,1/1/2010,1/23/2014,United States,"San Francisco, California, United States",Fintech,Stripe is a developer-oriented commerce company helping small and large companies accept web and mobile payments.,https://stripe.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"John Collison, Patrick Collison","Khosla Ventures, LowercaseCapital, capitalG",$100M to $500M,No,12,Series G
257,Sumo Logic,Private,1,1.19,340,1/1/2010,5/8/2019,United States,"Redwood City, California, United States",Data management & analytics,"Sumo Logic, a log management and analytics service, transforms big data into sources of operations, security, and compliance intelligence.",http://www.sumologic.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",10,Christian Beedgen,"Greylock Partners, Sutter Hill Ventures, Accel",$10M to $50M,No,6,Series G
258,Swiggy,Private,3.6,5,1630,8/1/2014,6/21/2018,India,"Bangalore, Karnataka, India","Supply chain, logistics, & delivery",Swiggy offers an on-demand food delivery platform that brings food from neighborhood restaurants directly to users' doors.,https://www.swiggy.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Nandan Reddy, Rahul Jaimini, Sriharsha Majety","Accel India, SAIF Partners, Norwest Venture Partners",$50M to $100M,No,12,Series I
259,Symphony Communication Services,Private,1.4,1,461,9/30/2014,5/16/2017,United States,"Palo Alto, California, United States",Internet software & services,Leading secure team collaboration platform.,http://www.symphony.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",3,David Gurle,"BNP Paribas, Goldman Sachs, Google",$50M to $100M,No,5,Series E
260,TalkDesk,Private,3,2.3,267.45,1/1/2011,10/3/2018,United States,"San Francisco, California, United States",Internet software & services,Talkdesk offers an enterprise contact center platform helps support and sales teams for customer satisfaction and cost savings.,http://talkdesk.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",8,"Cristina Fonseca, Tiago Paiva","DJF, Salesforce Ventures, Storm Ventures",$10M to $50M,Yes,7,Series C
261,TechStyle Fashion Group,Private,1,1.2,336,2/1/2010,8/29/2014,United States,"El Segundo, California, United States",E-commerce & direct-to-consumer,TechStyle is a global membership fashion commerce company focused on reimagining the global fashion business.,https://techstylefashiongroup.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Adam Goldenberg, Don Ressler","Matrix Partners, Passport 	  Capital, Rho Ventures",$100M to $500M,No,7,Venture - Series Unknown
262,Tempus,Private,5,1.8,620,1/1/2015,3/21/2018,United States,"Chicago, Illinois, United States",Health,Tempus is a technology company advancing precision medicine through the practical application of artificial intelligence in healthcare.,https://www.tempus.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,Eric Lefkofsky,"New Enterprise Associates, T. Rowe Associates, Lightbank",$100M to $500M,No,9,Series G
263,Terminus Technologies,Private,1,2.25,529.56,1/1/2015,10/25/2018,China,"Beijing, Beijing, China",Hardware,Terminus Technologies is a city-level AI+IoT platform operator in China.,http://www.terminusgroup.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,Victor Ai,"China Everbright Limited, IDG Capital, iFLYTEK",-,No,3,Series C
264,ThoughtSpot,Private,1,2.2,743.7,6/1/2012,5/8/2018,United States,"Sunnyvale, California, United States",Internet software & services,"ThoughtSpot is a business intelligence platform that helps anyone explore, analyze, and share real-time business analytics data easily.",https://www.thoughtspot.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,"Abhishek Rai, Abhishek Rai, Ajeet Singh, Amit Prakash, Priyendra Deshwal, Priyendra Deshwal, Sanjay Agrawal, Shashank Gupta, Vijay Ganesan","Lightspeed Venture Partners, Khosla Ventures, Geodesic Capital",$100M to $500M,No,8,Series E
265,Thrasio,Private,1,1,396.5,1/1/2018,7/15/2020,United States,"Medfield, Massachusetts, United States",Other,Thrasio is an acquirer of Amazon third-party private-label businesses.,http://www.thras.io,"CBINSIGHTS Global Unicorn Club, Crunchbase data",3,"Carlos Cashman, Joshua Silberstein","Upper90, RiverPark Ventures, Advent International",$100M to $500M,No,5,Series C
266,Toast,Private,4.9,1.2,901.95,12/22/2011,7/10/2018,United States,"Boston, Massachusetts, United States",Fintech,Toast is an all-in-one point-of-sale and restaurant management platform for businesses in the food service and hospitality space.,https://pos.toasttab.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",7,"Aman Narang, Jonathan Grimm, Steve Fredette","Bessemer Venture Partners, Tiger Global Management, Google Ventures",$50M to $100M,No,7,Series F
267,Tongdun Technology,Private,2,1.65,250.2,1/1/2013,10/10/2017,China,"Hangzhou, Zhejiang, China",Cybersecurity,Tongdun Technology  develops online software solutions for anti-theft and fraud management applications.,https://www.tongdun.cn/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Jackal Ma, Tao Jiang","Advantech Capital, Temasek Holdings Ltd., Tiantu Capital Co.",$10M to $50M,No,6,Series D
268,Toutiao (Bytedance)/ ByteDance,Private,140,1,7410,3/1/2012,4/7/2017,China,"Shanghai, Shanghai, China",Artificial intelligence,ByteDance is an internet technology company that enables to discover a world of creative content platforms.,http://bytedance.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,Yiming Zhang,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group",$10M to $50M,No,10,Secondary Market
269,TransferWise,Private,5,2.33,1090,1/1/2011,1/26/2015,United Kingdom,"London, England, United Kingdom",Fintech,TransferWise is a money transfer service allowing private individuals and businesses toÂ send money abroad without hidden charges.,https://transferwise.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",5,"Kristo Kaarmann, Taavet Hinrikus","IA Ventures, Index, Ventures, SV Angel",$100M to $500M,No,11,Secondary Market
270,Traveloka,Private,3,1.3,1170,1/1/2012,7/28/2017,Indonesia,"Jakarta, Jakarta Raya, Indonesia",Travel,Traveloka is an online travel aggregator that helps customers choose and book their next travel location.,http://traveloka.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",6,"Albert Albert, Derianto Kusuma, Ferry Unardi","Global Founders Capital, East Ventures, Expedia Inc.",$10M to $50M,No,6,Venture - Series Unknown
271,Trax,Private,1.3,11.2,386.9,1/1/2010,7/22/2019,Singapore,"Singapore, Central Region, Singapore",Artificial intelligence,Trax provides computer vision solutions for retail.,http://traxretail.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",10,"Dror Feldheim, Joel Bar-El","Hopu Investment Management, Boyu Capital, DC Thomson Ventures",$10M to $50M,No,9,Series D
272,Tresata,Private,1,5,51.25,1/1/2011,10/10/2018,United States,"Charlotte, North Carolina, United States",Fintech,Tresata develops software platform for real-time customer intelligence management.,http://tresata.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",8,"Abhishek Virendra Mehta, Richard Morris",GCP Capital Partners,Less than $1M,No,3,Private Equity
273,TripActions,Private,4,3,1110,1/1/2015,11/8/2018,United States,"Palo Alto, California, United States",Travel,TripActions is a corporate travel management company that keeps travelers safe while driving business travel continuity.,http://tripactions.com/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Ariel Cohen, Ilan Twig","Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures",$50M to $100M,No,9,Debt Financing
274,Tuhu,Private,1.16,1,874.78,1/1/2011,9/15/2018,China,"Shanghai, Shanghai, China",Auto & transportation,Tuhu is an automobile after-sales products and services provider.,http://www.tuhu.cn/,"CBINSIGHTS Global Unicorn Club, Crunchbase data",8,Min Chen,"Qiming Venture Partners, Yaxia Automobile, Far East Horizon",$100M to $500M,No,7,Series F
275,Tujia,Private,1.5,4,755,12/1/2011,6/17/2015,China,"Beijing, Beijing, China",Travel,Tujia operates as a vacation rental booking platform.,http://tujia.com,"CBINSIGHTS Global Unicorn Club, Crunchbase data",4,"Luo Jun, Melissa Yang","GGV Capital, QiMing Venture Partnersl",$1B to $10B,Yes,5,Series E
